modele,log_loss,brier,roc_auc,log_loss_cv
xG officiel StatsBomb,0.24487800079689684,0.06945496261964111,0.8333544628573153,
distance + angle,0.2804168861900771,0.07996508083552843,0.7675631621841891,0.2757619811032229
+ partie du corps,0.2718902234932322,0.07777877418120308,0.7877931721452504,0.26922552543841627
+ type de tir,0.2681627320199659,0.07678559330157787,0.7967611458239006,0.267065564902511
"+ première intention, pression",0.2654910585134805,0.07626241684718017,0.8061426544719128,0.26699099838083934
+ défenseurs dans le triangle,0.26160721113494634,0.074328786148455,0.8030275589362794,0.2627215708469805
+ position du gardien,0.257568219216236,0.07368156576570375,0.8135289323553382,0.26062114943906634
+ défenseur le plus proche,0.25463395538513606,0.07279513127023855,0.8186000181110206,0.25869426113507665
+ passe décisive,0.25387124370208264,0.07258216278777913,0.8189984605632528,0.2577591998743882
"+ face-à-face, but vide",0.25602095062444435,0.07321104039008954,0.8142171511364665,0.2572927219428566
"+ phase de jeu, duel aérien",0.2555625292239863,0.07314372316586197,0.8161852153702195,0.2564802115799143
